id,indicator,sourceOrg
CC.AVPB.PTPI.DI,Additional people below $1.90 as % of total population by impact - Disasters,"Hallegatte, Stephane; Bangalore, Mook; Bonzanigo, Laura; Fay, Marianne; Kane, Tamaro; Narloch, Ulf; Rozenberg, Julie; Treguer, David; Vogt-Schilb, Adrien. 2016. Shock Waves : Managing the Impacts of Climate Change on Poverty. Climate Change and Development;. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/22787 License: CC BY 3.0 IGO."
CC.AVPB.TPOP.DI,"Additional people below $4 as % of total population by impact, by 2030 - Disasters","Hallegatte, Stephane; Bangalore, Mook; Bonzanigo, Laura; Fay, Marianne; Kane, Tamaro; Narloch, Ulf; Rozenberg, Julie; Treguer, David; Vogt-Schilb, Adrien. 2016. Shock Waves : Managing the Impacts of Climate Change on Poverty. Climate Change and Development;. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/22787 License: CC BY 3.0 IGO."
CC.AVPB.TPOP.TE,"Additional people below $4 as % of total population by impact, by 2030 - Temperature","Hallegatte, Stephane; Bangalore, Mook; Bonzanigo, Laura; Fay, Marianne; Kane, Tamaro; Narloch, Ulf; Rozenberg, Julie; Treguer, David; Vogt-Schilb, Adrien. 2016. Shock Waves : Managing the Impacts of Climate Change on Poverty. Climate Change and Development;. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/22787 License: CC BY 3.0 IGO."
CC.ADPO.MIEX.BB,"Additional population exposed to annual coastal floods due to sea level rise, as a share of actual population (%) - Max exposure, 2050","Kulp, S.A., Strauss, B.H. New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding. Nat Commun 10, 4844 (2019). https://doi.org/10.1038/s41467-019-12808-z"
CC.ADPO.MAEX.BB,"Additional population exposed to annual coastal floods due to sea level rise, as a share of actual population (%) - Max exposure, 2100","Kulp, S.A., Strauss, B.H. New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding. Nat Commun 10, 4844 (2019). https://doi.org/10.1038/s41467-019-12808-z"
CC.ADPO.MIEX.AA,"Additional population exposed to annual coastal floods due to sea level rise, as a share of actual population (%) - Min. exposure, 2050","Kulp, S.A., Strauss, B.H. New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding. Nat Commun 10, 4844 (2019). https://doi.org/10.1038/s41467-019-12808-z"
CC.ADPO.MAEX.AA,"Additional population exposed to annual coastal floods due to sea level rise, as a share of actual population (%) - Min. exposure, 2100","Kulp, S.A., Strauss, B.H. New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding. Nat Commun 10, 4844 (2019). https://doi.org/10.1038/s41467-019-12808-z"
CRPFM-14.1,Aggregate climate related-expenditure outturn,NA
CC.INCP.KRGC,"Annual investment needs for coastal protection, by risk strategy (% of GDP) - constant relative flood risk","Rozenberg, Julie; Fay, Marianne. 2019. Beyond the Gap : How Countries Can Afford the Infrastructure They Need while Protecting the Planet. Sustainable Infrastructure;. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/31291 License: CC BY 3.0 IGO"
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),"Food and Agriculture Organization, electronic files and web site."
CRPFM-1,Budget alignment with climate change strategies,NA
CRPFM-1.1,Budget alignment with climate change strategies,NA
CC.CHIC.CFPI.DI,Change in income (%) for bottom 40% of the population by impact - Disasters (update),NA
CC.CHIC.BTFP.DI,"Change in income (%) for bottom 40% of the population by impact, by 2030 - Disasters (original)","Hallegatte, Stephane; Bangalore, Mook; Bonzanigo, Laura; Fay, Marianne; Kane, Tamaro; Narloch, Ulf; Rozenberg, Julie; Treguer, David; Vogt-Schilb, Adrien. 2016. Shock Waves : Managing the Impacts of Climate Change on Poverty. Climate Change and Development;. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/22787 License: CC BY 3.0 IGO."
CC.CHIC.BTFP.TE,"Change in income (%) for bottom 40% of the population by impact, by 2030 - Temperature (original)","Hallegatte, Stephane; Bangalore, Mook; Bonzanigo, Laura; Fay, Marianne; Kane, Tamaro; Narloch, Ulf; Rozenberg, Julie; Treguer, David; Vogt-Schilb, Adrien. 2016. Shock Waves : Managing the Impacts of Climate Change on Poverty. Climate Change and Development;. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/22787 License: CC BY 3.0 IGO."
CRPFM-12.2,Climate  related  information  in  performance reports,NA
CRPFM-12.1,Climate related information in performance plans,NA
CRPFM-12,Climate related performance information,NA
CRPFM-7.2,Climate-related debt and guarantees,NA
CRPFM-13,Climate-related evaluation,NA
CRPFM-13.1,Climate-related evaluation of expenditure,NA
CRPFM-13.2,Climate-related evaluation of taxes,NA
CRPFM-14.2,Climate-related expenditure composition outturn,NA
CRPFM-7,Climate-related liabilities,NA
CRPFM-9.2,Climate-related tax arrears,NA
CRPFM-9.1,"Climate-related tax management, audit, and investigation",NA
CRPFM-5.1,Climate-responsive  provisions in regulatory framework for public investment management,NA
CRPFM-11.3,Climate-responsive PFM arrangements applied by subnational governments,NA
CRPFM-3,Climate-responsive budget circular,NA
CRPFM-3.1,Climate-responsive budget circular,NA
CRPFM-11,Climate-responsive fiscal decentralization,NA
CRPFM-11.1,Climate-responsive fiscal decentralization arrangements,NA
CRPFM-11.2,Climate-responsive fiscal transfers,NA
CRPFM-6,Climate-responsive non-financial asset management,NA
CRPFM-6.1,Climate-responsive non-financial asset management,NA
CRPFM-5.2,Climate-responsive provisions for project appraisal,NA
CRPFM-5.3,Climate-responsive provisions for project selection,NA
CRPFM-5,Climate-responsive public investment management,NA
CRPFM-8,Climate-responsive public procurement,NA
CRPFM-8.1,Climate-responsive public procurement framework,NA
CRPFM-8.3,Climate-responsive public procurement monitoring,NA
CRPFM-8.2,Climate-responsive public procurement operations,NA
CRPFM-8.4,Climate-responsive public procurement reporting,NA
CRPFM-9,Climate-responsive tax administration,NA
CRPFM-10,Compliance of climate-related expenditure,NA
EN.CLC.DRSK.XQ,Disaster risk reduction progress score (1-5 scale; 5=best),"(UNISDR, 2009-2011 Progress Reports, http://www.preventionweb.net/english/hyogo)."
EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)","EM-DAT: The OFDA/CRED International Disaster Database: www.emdat.be, Université Catholique de Louvain, Brussels (Belgium), World Bank."
CRPFM-14,Expenditure  outturn for climate activities,NA
CRPFM-7.1,Fiscal risks arising from climate-related contingent liabilities,NA
SPI.D3.13.CLMT,GOAL 13: Climate Action (5 year moving average),"Statistical Performance Indicators, The World Bank (https://datacatalog.worldbank.org/dataset/statistical-performance-indicators)"
DT.ODA.DACD.EMRC.DISA.CD,"Gross ODA aid disbursement for disaster prevention & preparedness, DAC donors total (current US$)","Development Assistance Committee of the Organisation for Economic Co-operation and Development, Geographical Distribution of Financial Flows to Developing Countries, Development Co-operation Report, and International Development Statistics database. Data are available online at: www.oecd.org/dac/stats/idsonline."
VC.IDP.NWDS,"Internally displaced persons, new displacement associated with disasters (number of cases)",The Internal Displacement Monitoring Centre (http://www.internal-displacement.org/)
EN.LND.LTMP.DC,Land Surface Temperature,NA
CC.THHZ.RANK.CF,Natural hazard levels - Coastal flood,ThinkHazard! data [https://thinkhazard.org/en/] taken from the Climate Change Knowledge Portal [available at: https://climateknowledgeportal.worldbank.org/]
CC.THHZ.RANK.RF,Natural hazard levels - River flood,ThinkHazard! data [https://thinkhazard.org/en/] taken from the Climate Change Knowledge Portal [available at: https://climateknowledgeportal.worldbank.org/]
CC.THHZ.RANK.UF,Natural hazard levels - Urban flood,ThinkHazard! data [https://thinkhazard.org/en/] taken from the Climate Change Knowledge Portal [available at: https://climateknowledgeportal.worldbank.org/]
CC.FLD.BELW.ZS,Population exposed to floods (share of population below $5.50),"Rentschler, Jun; Salhab, Melda. 2020. People in Harm's Way : Flood Exposure and Poverty in 189 Countries. Policy Research Working Paper;No. 9447. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/34655 License: CC BY 3.0 IGO."
CC.FLD.TOTL.ZS,Population exposed to floods (share of total population),"Rentschler, Jun; Salhab, Melda. 2020. People in Harm's Way : Flood Exposure and Poverty in 189 Countries. Policy Research Working Paper;No. 9447. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/34655 License: CC BY 3.0 IGO."
CC.TNET.FLD.ZS,Share of transport network exposed to floods (%),"Hallegatte, Stephane; Rentschler, Jun; Rozenberg, Julie. 2019. Lifelines : The Resilient Infrastructure Opportunity. Sustainable Infrastructure;. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/31805 License: CC BY 3.0 IGO."
CC.TNET.NAT.ZS,Share of transport network exposed to natural disasters (%),"Hallegatte, Stephane; Rentschler, Jun; Rozenberg, Julie. 2019. Lifelines : The Resilient Infrastructure Opportunity. Sustainable Infrastructure;. Washington, DC: World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/31805 License: CC BY 3.0 IGO."
EN.CLC.SPEI.XD,Standardised Precipitation-Evapotranspiration Index,Global SPEI database (SPEIbase). https://spei.csic.es/database.html
CRPFM-2,Tracking climate-related expenditure,NA
CRPFM-2.1,Tracking climate-related expenditure,NA
