iso2c,iso3c,country,date,EN.CLC.HEAT.XD,unit,obs_status,footnote,last_updated,AG.LND.PRCP.MM,SP.URB.TOTL.IN.ZS,EG.ELC.ACCS.ZS,ER.LND.PTLD.ZS
GB,GBR,United Kingdom,2018,0,NA,NA,NA,2024-04-16,NA,NA,NA,NA
GB,GBR,United Kingdom,2019,0,NA,NA,NA,2024-04-16,NA,NA,NA,NA
GB,GBR,United Kingdom,2020,0,NA,NA,NA,2024-04-16,NA,NA,NA,NA
GB,GBR,United Kingdom,2021,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
GB,GBR,United Kingdom,2022,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
GB,GBR,United Kingdom,2018,NA,NA,NA,NA,2025-06-05,1220,NA,NA,NA
GB,GBR,United Kingdom,2019,NA,NA,NA,NA,2025-06-05,1220,NA,NA,NA
GB,GBR,United Kingdom,2020,NA,NA,NA,NA,2025-06-05,1220,NA,NA,NA
GB,GBR,United Kingdom,2021,NA,NA,NA,NA,2025-06-05,1220,NA,NA,NA
GB,GBR,United Kingdom,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,NA
GB,GBR,United Kingdom,2018,NA,NA,NA,NA,2025-06-05,NA,83.398,NA,NA
GB,GBR,United Kingdom,2019,NA,NA,NA,NA,2025-06-05,NA,83.652,NA,NA
GB,GBR,United Kingdom,2020,NA,NA,NA,NA,2025-06-05,NA,83.903,NA,NA
GB,GBR,United Kingdom,2021,NA,NA,NA,NA,2025-06-05,NA,84.152,NA,NA
GB,GBR,United Kingdom,2022,NA,NA,NA,NA,2025-06-05,NA,84.398,NA,NA
GB,GBR,United Kingdom,2018,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
GB,GBR,United Kingdom,2019,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
GB,GBR,United Kingdom,2020,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
GB,GBR,United Kingdom,2021,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
GB,GBR,United Kingdom,2022,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
GB,GBR,United Kingdom,2018,NA,NA,NA,NA,2025-06-05,NA,NA,NA,28.683437277978
GB,GBR,United Kingdom,2019,NA,NA,NA,NA,2025-06-05,NA,NA,NA,28.7
GB,GBR,United Kingdom,2020,NA,NA,NA,NA,2025-06-05,NA,NA,NA,28.7
GB,GBR,United Kingdom,2021,NA,NA,NA,NA,2025-06-05,NA,NA,NA,27.8
GB,GBR,United Kingdom,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,27.8
