iso2c,iso3c,country,date,AG.LND.PRCP.MM,unit,obs_status,footnote,last_updated
US,USA,United States,1990,715,NA,NA,NA,2025-04-15
US,USA,United States,1991,715,NA,NA,NA,2025-04-15
US,USA,United States,1992,715,NA,NA,NA,2025-04-15
US,USA,United States,1993,715,NA,NA,NA,2025-04-15
US,USA,United States,1994,715,NA,NA,NA,2025-04-15
US,USA,United States,1995,715,NA,NA,NA,2025-04-15
US,USA,United States,1996,715,NA,NA,NA,2025-04-15
US,USA,United States,1997,715,NA,NA,NA,2025-04-15
US,USA,United States,1998,715,NA,NA,NA,2025-04-15
US,USA,United States,1999,715,NA,NA,NA,2025-04-15
US,USA,United States,2000,715,NA,NA,NA,2025-04-15
US,USA,United States,2001,715,NA,NA,NA,2025-04-15
US,USA,United States,2002,715,NA,NA,NA,2025-04-15
US,USA,United States,2003,715,NA,NA,NA,2025-04-15
US,USA,United States,2004,715,NA,NA,NA,2025-04-15
US,USA,United States,2005,715,NA,NA,NA,2025-04-15
US,USA,United States,2006,715,NA,NA,NA,2025-04-15
US,USA,United States,2007,715,NA,NA,NA,2025-04-15
US,USA,United States,2008,715,NA,NA,NA,2025-04-15
US,USA,United States,2009,715,NA,NA,NA,2025-04-15
US,USA,United States,2010,715,NA,NA,NA,2025-04-15
US,USA,United States,2011,715,NA,NA,NA,2025-04-15
US,USA,United States,2012,715,NA,NA,NA,2025-04-15
US,USA,United States,2013,715,NA,NA,NA,2025-04-15
US,USA,United States,2014,715,NA,NA,NA,2025-04-15
US,USA,United States,2015,715,NA,NA,NA,2025-04-15
US,USA,United States,2016,715,NA,NA,NA,2025-04-15
US,USA,United States,2017,715,NA,NA,NA,2025-04-15
US,USA,United States,2018,715,NA,NA,NA,2025-04-15
US,USA,United States,2019,715,NA,NA,NA,2025-04-15
US,USA,United States,2020,715,NA,NA,NA,2025-04-15
US,USA,United States,2021,715,NA,NA,NA,2025-04-15
US,USA,United States,2022,NA,NA,NA,NA,2025-04-15
US,USA,United States,2023,NA,NA,NA,NA,2025-04-15
